name,avoid_foods,recommended_foods
Diabetes,"sugar, sweetened beverages, white bread, pasta","leafy greens, whole grains, lean proteins, nuts"
Hypertension,"salty foods, processed meats, canned soups","potassium-rich foods, low-fat dairy, whole grains, leafy greens"
Heart Disease,"trans fats, red meat, fried foods, processed snacks","omega-3 rich fish, berries, avocados, nuts, olive oil"
Anemia,"tea, coffee, high-calcium foods (in excess)","iron-rich foods (red meat, legumes, spinach), vitamin C-rich foods (to enhance iron absorption)"
Lactose Intolerance,"milk, dairy products","lactose-free milk, plant-based milk (almond, soy), fruits, vegetables"
Obesity,"high-calorie foods, sugary drinks, fried foods","low-calorie foods, fresh fruits, vegetables, whole grains, lean proteins"
Celiac Disease,"gluten-containing foods (wheat, barley, rye)","gluten-free grains (rice, quinoa, corn), fruits, vegetables, lean proteins"
Kidney Stones,"oxalate-rich foods (spinach, nuts), salty foods","water, calcium-rich foods (cheese, yogurt), citrus fruits"
Allergies,"allergic foods (nuts, shellfish, dairy, pollen, dust)","immune-boosting foods (fruits, vegetables, nuts, seeds)"
Thyroid,"soy products, cruciferous vegetables (broccoli, cauliflower, cabbage)","iodine-rich foods (seafood, iodized salt), selenium-rich foods (brazil nuts), zinc-rich foods (pumpkin seeds)"
Gastroesophageal Reflux Disease (GERD),"spicy foods, citrus, chocolate, caffeine, fried foods","lean meats, whole grains, vegetables, oatmeal"
Asthma,"sulfite-containing foods (wine, dried fruits), processed foods","omega-3 rich foods (fish, flaxseeds), antioxidant-rich foods (fruits, vegetables)"
Arthritis,"refined sugars, processed foods, fried foods","anti-inflammatory foods (fish, olive oil, nuts, turmeric)"
Chronic Fatigue Syndrome,"caffeine, alcohol, high-sugar foods","complex carbohydrates, lean proteins, vegetables, fruits"
Gout,"high-purine foods (red meat, shellfish, alcohol)","low-purine foods (low-fat dairy, vegetables, whole grains, cherries)"
Migraine,"aged cheese, processed meats, chocolate, alcohol","fresh fruits (especially bananas), leafy greens, magnesium-rich foods (almonds, spinach)"
Irritable Bowel Syndrome (IBS),"high-fat foods, dairy, gluten, beans, cabbage","low-FODMAP foods (rice, potatoes, carrots, zucchini)"
